ontology_area_id,atlas_id,axis,atlas_label,normalized_label,side,lobe_or_group,hosts,taro_present,runtime_scope,wiki_target_slug,coverage_class,scope_reason,duplicate_status,canonical_slug,evidence_source,review_status,reviewed_at
dkt:middletemporal:l,dkt,macro,middletemporal · L,middletemporal,L,temporal,middle-temporal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:middletemporal:r,dkt,macro,middletemporal · R,middletemporal,R,temporal,middle-temporal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:parahippocampal:l,dkt,macro,parahippocampal · L,parahippocampal,L,temporal,parahippocampal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:parahippocampal:r,dkt,macro,parahippocampal · R,parahippocampal,R,temporal,parahippocampal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:superiortemporal:l,dkt,macro,superiortemporal · L,superiortemporal,L,temporal,superior-temporal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:superiortemporal:r,dkt,macro,superiortemporal · R,superiortemporal,R,temporal,superior-temporal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:temporalpole:l,dkt,macro,temporalpole · L,temporalpole,L,temporal,,false,fsaverage,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:temporalpole:r,dkt,macro,temporalpole · R,temporalpole,R,temporal,,false,fsaverage,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:transversetemporal:l,dkt,macro,transversetemporal · L,transversetemporal,L,temporal,heschl-combined,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:transversetemporal:r,dkt,macro,transversetemporal · R,transversetemporal,R,temporal,heschl-combined,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
destrieux:g_and_s_frontomargin:l,destrieux,macro,G_and_S_frontomargin · L,g-and-s-frontomargin,L,frontal,,false,fsaverage,destrieux-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,destrieux-atlas,ontology+wiki_frontmatter,machine_unreviewed,
